,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
0,-1.0,2.5,1.0,0.4,1.4,2,47.4596,-69.7547
1,-0.1,2.4,1.9,0.1,0.9,2,42.3997,-82.1996
2,1.4,0.7,2.2,2.0,1.7,5,46.0965,-64.7976
3,0.7,2.2,1.7,0.0,1.7,4,43.6369,-79.3505
4,1.4,0.7,2.2,2.0,2.1,5,46.0965,-64.7976
5,-0.6,2.2,1.1,0.4,2.2,2,45.4167,-75.7
6,-0.1,1.3,2.0,0.7,2.2,1,43.6425,-79.3872
7,0.7,1.8,1.7,0.2,0.5,1,45.4167,-75.7
8,1.1,2.7,2.1,1.6,1.3,4,43.6097,-79.704
9,1.4,1.3,2.3,0.9,2.1,5,49.8373,-99.9747
10,-0.3,1.7,0.9,0.5,1.6,1,52.1068,-106.6552
11,0.6,1.6,0.8,0.0,2.2,1,45.4333,-73.8333
12,0.5,1.1,1.3,1.8,2.1,5,43.5974,-79.6402
13,0.1,1.5,0.5,0.9,1.9,3,43.6667,-79.4167
14,1.6,2.6,0.7,2.3,1.0,4,46.4918,-80.9955
15,-1.1,1.0,0.6,2.0,1.8,3,53.535,-113.501
16,1.1,1.1,1.0,1.5,1.5,5,43.4529,-80.5281
17,0.8,0.2,1.8,0.5,1.6,1,43.6667,-79.4167
18,-0.8,3.3,2.0,1.5,1.0,2,48.3775,-89.2704
19,-0.5,1.1,0.5,1.8,0.7,3,45.8919,-64.3699
20,0.2,0.5,0.0,1.5,1.3,3,53.5801,-113.541
21,-0.3,2.0,0.7,0.6,0.8,2,44.65,-63.6
22,1.6,0.6,2.5,1.0,1.7,5,43.6092,-79.6201
23,0.5,-0.2,1.8,0.9,1.9,5,43.1309,-81.4318
24,1.3,3.3,1.7,0.8,2.0,4,43.0093,-81.21
25,-1.6,0.5,1.7,1.1,2.0,0,43.6425,-79.3872
26,0.5,1.4,1.4,0.8,1.8,1,44.1167,-79.5667
27,-0.8,0.4,0.9,2.5,2.1,3,45.4127,-75.6742
28,0.4,0.8,1.9,0.8,1.6,5,43.7496,-79.4886
29,0.9,1.5,1.8,2.0,1.9,5,43.8417,-79.4011
30,-0.5,1.2,0.7,1.1,0.9,3,45.5148,-73.5739
31,-0.8,1.4,0.6,1.5,0.6,3,42.3158,-83.0568
32,1.0,1.4,1.5,1.7,1.8,5,43.6425,-79.3872
33,-1.6,2.1,2.1,0.3,1.7,2,43.7976,-79.227
34,1.3,2.4,1.6,1.1,1.4,4,43.5325,-80.2531
35,1.0,0.8,2.2,1.0,1.1,5,43.6425,-79.3872
36,0.4,1.2,1.6,1.2,1.0,5,43.6425,-79.3872
37,-0.8,1.4,1.6,1.9,1.5,0,43.6,-79.65
38,-0.3,1.8,0.5,1.4,1.2,3,45.4165,-65.9913
39,0.6,1.5,2.1,0.3,1.2,1,53.5248,-113.5334
40,1.5,1.2,2.6,2.3,2.2,5,42.3039,-83.0308
41,0.3,2.6,2.4,2.4,1.4,0,43.447,-80.4725
