lat_appx_lots_of_err,long_appx_lots_of_err,EXT,EST,AGR,CSN,OPN
47.4596,-69.7547,-1.0,2.5,1.0,0.4,1.4
42.3997,-82.1996,-0.1,2.4,1.9,0.1,0.9
46.0965,-64.7976,1.4,0.7,2.2,2.0,1.7
43.6369,-79.3505,0.7,2.2,1.7,0.0,1.7
46.0965,-64.7976,1.4,0.7,2.2,2.0,2.1
45.4167,-75.7,-0.6,2.2,1.1,0.4,2.2
43.6425,-79.3872,-0.1,1.3,2.0,0.7,2.2
45.4167,-75.7,0.7,1.8,1.7,0.2,0.5
43.6097,-79.704,1.1,2.7,2.1,1.6,1.3
49.8373,-99.9747,1.4,1.3,2.3,0.9,2.1
52.1068,-106.6552,-0.3,1.7,0.9,0.5,1.6
45.4333,-73.8333,0.6,1.6,0.8,0.0,2.2
43.5974,-79.6402,0.5,1.1,1.3,1.8,2.1
43.6667,-79.4167,0.1,1.5,0.5,0.9,1.9
46.4918,-80.9955,1.6,2.6,0.7,2.3,1.0
53.535,-113.501,-1.1,1.0,0.6,2.0,1.8
43.4529,-80.5281,1.1,1.1,1.0,1.5,1.5
43.6667,-79.4167,0.8,0.2,1.8,0.5,1.6
48.3775,-89.2704,-0.8,3.3,2.0,1.5,1.0
45.8919,-64.3699,-0.5,1.1,0.5,1.8,0.7
53.5801,-113.541,0.2,0.5,0.0,1.5,1.3
44.65,-63.6,-0.3,2.0,0.7,0.6,0.8
43.6092,-79.6201,1.6,0.6,2.5,1.0,1.7
43.1309,-81.4318,0.5,-0.2,1.8,0.9,1.9
43.0093,-81.21,1.3,3.3,1.7,0.8,2.0
43.6425,-79.3872,-1.6,0.5,1.7,1.1,2.0
44.1167,-79.5667,0.5,1.4,1.4,0.8,1.8
45.4127,-75.6742,-0.8,0.4,0.9,2.5,2.1
43.7496,-79.4886,0.4,0.8,1.9,0.8,1.6
43.8417,-79.4011,0.9,1.5,1.8,2.0,1.9
45.5148,-73.5739,-0.5,1.2,0.7,1.1,0.9
42.3158,-83.0568,-0.8,1.4,0.6,1.5,0.6
43.6425,-79.3872,1.0,1.4,1.5,1.7,1.8
43.7976,-79.227,-1.6,2.1,2.1,0.3,1.7
43.5325,-80.2531,1.3,2.4,1.6,1.1,1.4
43.6425,-79.3872,1.0,0.8,2.2,1.0,1.1
43.6425,-79.3872,0.4,1.2,1.6,1.2,1.0
